ID,label,lang,score
1433796999061585922,MiuraHaruma,en,0.36827540397644043
1231911781041352706,Angular,en,0.5439395308494568
1343697227223597057,dreamfanart,en,0.2284410297870636
1478684524766760961,Entertainment,en,0.3837055265903473
1080356676874715141,Nickelodeon,en,0.2692630887031555
1223651386010808322,riverdale,en,0.3144536018371582
997196343801073664,Birthday,en,0.36932528018951416
822277658344038404,burger,en,0.3113109767436981
1496673248053891074,ohmpawat,en,0.449910044670105
1113437179848667148,venturecapital,en,0.16673049330711365
854922907218137089,JEsurprise,en,0.623354434967041
1262679266090553344,btsartmy,en,0.17080892622470856
1146977582937567232,JACKSTAGRAM,en,0.4544559419155121
1119969488965816320,OngSeongWu,en,0.6374688744544983
902186560631607296,Parallel_Universe,en,0.4515135884284973
1048030698941140993,Baltimore,en,0.5120946764945984
1445854360961904642,NHLBruins,en,0.5063309669494629
1411768087876100099,XRPArmy,en,0.7956807017326355
1373920272030560256,WorldWaterDay,en,0.19376887381076813
1478432943974408193,investing,en,0.8344423174858093
985884907338719233,PrettyLittleLiars,en,0.25956040620803833
1327322049153560577,bobby,en,0.30981752276420593
1319215810095706113,BheemManiaBegins,en,0.35290682315826416
1304389261425356805,FollowFriday,en,0.5842173099517822
972114370502299648,fridayfeeling,en,0.8385887145996094
925273638026149888,fruit,en,0.9407162666320801
862393597597020161,NDP,en,0.7171211838722229
1047117804850302976,suga,en,0.2856360375881195
1339490827131887616,EricaXLegendInAbia,en,0.1409761756658554
1076161384470204418,Winnipeg,en,0.7478090524673462
891034142657433600,charlesmilander,en,0.4029974043369293
821753279520657409,ALDUB79thWeeksary,en,0.5666123628616333
1094611956231819265,Mixtape,en,0.33596542477607727
1288077288895066114,SaveSanditon,en,0.1370774805545807
1018136065608224768,OnePlus6,en,0.39370179176330566
1529836461876400128,SEUNGHOON,en,0.158504456281662
1410853592974647300,July2Coup,en,0.9804404973983765
1225320076322263041,OpenRP,en,0.36328667402267456
1267208850731683843,humanity,en,0.6202747225761414
1480929249318129678,Bachelor,en,0.6651729345321655
1316290149832175616,EndPoliceBrutalityinNigeria,en,0.2093283236026764
859275461255458816,Gemini,en,0.35634320974349976
1084921289280770049,ArtistsofSEA,en,0.7227461934089661
1509916483291332614,Gemini,en,0.35634320974349976
1009409514855165953,ARMYHiveStreamingParty,en,0.30764010548591614
1397156435444764674,May25Coup,en,0.7052888870239258
853713392779001856,Central_RYS17,en,0.3609539866447449
1461333568161042445,BreastCancer,en,0.7222238779067993
822056844764082176,ALDUB79thWeeksary,en,0.5666123628616333
1316803713751748612,EndPoliceBrutalityinNigeria,en,0.2093283236026764
1273907570638352384,StayGold,en,0.3637310862541199
1482251258652393473,RRBNTPC,en,0.7287717461585999
1410879031411683339,July2Coup,en,0.9804404973983765
1519052976379334663,Liquorose,en,0.5922421216964722
1240701060747952130,ChineseVirus,en,0.26791372895240784
1448665213763395599,OurGreatestLoveHEESEUNG,en,0.2906779646873474
1531282124296404999,Portsmouth,en,0.35361719131469727
1200367859664334849,dairy,en,0.7597866058349609
1243066480129970181,ChineseVirus,en,0.26791372895240784
912112139141357569,foodwaste,en,0.5809094309806824
1412769650165776398,MTVLAFANDOMBLINKS,en,0.4387735426425934
817814492902027265,Bellarke,en,0.28870266675949097
1487233461177892864,stripmenow,en,0.8237543106079102
1344782432835416065,robotics,en,0.42610594630241394
1070740995606806528,links,en,0.9883309602737427
1329565983392993280,AOMG,en,0.19805696606636047
966833624409616385,legs,en,0.7566035985946655
1157712988113178624,healthcare,en,0.9313123822212219
1479099079158222852,tool,en,0.2605683505535126
1067178145369939973,Sing,en,0.39043372869491577
1100246350632022016,Heroes,en,0.34826231002807617
1286657494421577728,FursuitFriday,en,0.6581695675849915
1523790807253532673,foodwaste,en,0.5809094309806824
1400107436367925261,burger,en,0.3113109767436981
1256064327213133826,NTRBdayFestBegins,en,0.8919957280158997
1332114036922707972,TianGuanCiFu,en,0.6480646133422852
1248706372604252162,GoodFriday,en,0.506867527961731
1458055477879873537,cryptocurrecy,en,0.3008458614349365
1050008965260697600,serverless,en,0.36562541127204895
1165701173036355592,ITChapter2,en,0.40895208716392517
1303445751771664384,transfers,en,0.8843874335289001
1130677999370756096,paypig,en,0.688343346118927
1339940798796840963,humanity,en,0.6202747225761414
1032409459832877056,Don,en,0.550175130367279
1196120465732882432,PolyU,en,0.43116945028305054
854560380072243200,JEsurprise,en,0.623354434967041
989016242760511488,voting,en,0.7970200777053833
1263850367588028416,Adult,en,0.7161879539489746
1475279043360530433,MondayMotivation,en,0.690785825252533
1541746812289052673,MTVLAFANDOMLISA,en,0.3352450132369995
1455628466720813064,JaiBhim,en,0.24476224184036255
1448665425957429252,OurGreatestLoveHEESEUNG,en,0.2906779646873474
1364494931264380931,Archaeology,en,0.6316885948181152
888022014375714816,watercolor,en,0.6839420795440674
1536326892986302470,MTVLAFANDOMLISA,en,0.3352450132369995
1103666652221239296,congratulations,en,0.6924270391464233
1060644447141199872,instantwingame,en,0.3433370292186737
1486019024106491905,Saitama,en,0.4191060960292816
1304074681314693122,Auction,en,0.7815235257148743
897544024235659265,daughter,en,0.995725154876709
1070038036115849217,honey,en,0.49707478284835815
1435071140767035394,BlockchainGaming,en,0.43725714087486267
1372347782648885251,ChineseVirus,en,0.26791372895240784
1388655609076137988,LabourDay,en,0.834985077381134
1307265683906949120,suga,en,0.2856360375881195
1371180847806693381,LightItUpBTS,en,0.3645647168159485
1490447997523697669,JACKSTAGRAM,en,0.4544559419155121
1486809018123362311,Steam,en,0.670577883720398
893890625967464449,TFBJP,en,0.4102981984615326
1414616735706058753,HappyBirthdayAsimRiaz,en,0.5647285580635071
1201844825332441090,TanhajiTheUnsungWarrior,en,0.558154821395874
1372550448574566405,WhiteHouse,en,0.6915880441665649
1333387386433138688,RubiNav,en,0.2585688531398773
1460279340793430018,LetsGoBrandon,en,0.40853798389434814
1255113944202653696,Prabhas20,en,0.5170526504516602
1439719410365702147,AnimalKingdom,en,0.29302850365638733
1443503542514294789,SquidGame,en,0.37846389412879944
923639458771152896,cyberattacks,en,0.6627506613731384
1300673134178123777,SpeakUpForSSCRailwaysStudents,en,0.7037535309791565
1071180673078059009,Manafort,en,0.38699275255203247
1155597402398777344,Christ,en,0.3757704198360443
1483850491645759489,bingqiu,en,0.7957715392112732
1359237935435026433,DarkSouls,en,0.2962450385093689
1393238958855921667,FursuitFriday,en,0.6581695675849915
1138474425756594177,transfers,en,0.8843874335289001
1014782899525054464,nswpol,en,0.6980470418930054
1381402201923420161,28thSpringWithSEHUN,en,0.8098512291908264
1100275313630687233,IndianAirForce,en,0.22444579005241394
1318124595577188353,RESONANCE_Pt1,en,0.3191538453102112
1457163542126370821,bingqiu,en,0.7957715392112732
1464850416500453377,Cambodia,en,0.4093300402164459
1089987462883987456,Audio,en,0.32422617077827454
1313069977327603713,Hawks,en,0.30253157019615173
1355890453938393088,RubiNav,en,0.2585688531398773
1050472774962204677,E,en,0.6314988136291504
1367596892130050048,stripmenow,en,0.8237543106079102
839818376461631489,gaymen,en,0.7785623669624329
1391411833844555780,ButterTeaser1,en,0.4665051996707916
1225111905783689218,SuperStar,en,0.221888467669487
979661880359833600,GoodFriday,en,0.506867527961731
1410187451889377284,MTVLAFANDOMBLINKS,en,0.4387735426425934
1318873603488710656,RESONANCE_Pt1,en,0.3191538453102112
1506459311266017282,MoonKnight,en,0.38664042949676514
819344281731235843,Audio,en,0.32422617077827454
1048247395551571968,Vijay,en,0.8413673639297485
1000898804873220096,LYTear1onBB200,en,0.41845178604125977
1453288238832103425,Ashwinkumar,en,0.6397697329521179
1379225068677459970,CHUANG2021,en,0.5811755657196045
1042512806111834112,fruit,en,0.9407162666320801
